Item Name	Base price	Crafting price	Price adjustment	Source	Attunement?	HoTC Rarity	Shoppable	Craftable	Ban reason	Available in shop	Total Weight	Manual Weight	Base	Priced Weight	
Abracadabrus	-	-		IDRotF	No	Banned	No	No	Breaks survival games	FALSE	0	0	0	0	
"Akmon, Hammer of Purphoros"	-	-		MoT	Yes	Banned	No	No	Artifact with a piety system	FALSE	0	0	0	0	
Amulet of Harmony	-	-		NRH-AT	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Amulet of the Black Skull	-	-		ToA	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Arcane Cannon	-	-		EGW	No	Banned	No	No	Firearms not existing in setting	FALSE	0	0	0	0	
Armor of Invulnerability	-	-		DMG	Yes	Banned	No	No	Broken in our rest system	FALSE	0	0	0	0	
Azuredge	-	-		WDH	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Baba Yaga's Mortar and Pestle	-	-		TCE	Yes	Banned	No	No	"Artifact, teleportation powerful"	FALSE	0	0	0	0	
Badge of the Watch	-	-		WDH	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Bag Of Beans	-	-		DMG	No	Banned	No	No	"Can summon a dungeon, raise stats, and is just broken"	FALSE	0	0	0	0	
Bag Of Bounty	-	-		WGE	No	Banned	No	No	Breaks survival games	FALSE	0	0	0	0	
Bag of Tricks	-	-		DMG	No	Banned	No	No	Annoying AF to everyone else	FALSE	0	0	0	0	
Basic Fishing Equipment	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Battle Standard of Infernal Power	-	-		BGDIA	Yes	Banned	No	No	Keeps a creature in a cage	FALSE	0	0	0	0	
Blackstaff	-	-		WDH	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Blade of Avernus	-	-		BGDIA	Yes	Banned	No	No	Artifact Vorpal Sword	FALSE	0	0	0	0	
Blade of Broken Mirrors	-	-		EGW	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
Blood Spear	-	-		CoS	Yes	Banned	No	No	Setting specfic	FALSE	0	0	0	0	
Bombard	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Cartographer's Map Case	-	-		AI	No	Banned	No	No	"Reduces travel time, breaks pacing"	FALSE	0	0	0	0	
Cauldron of Plenty	-	-		IDRotF	No	Banned	No	No	Breaks survival games	FALSE	0	0	0	0	
Cauldron of Rebirth	-	-		TCE	Yes	Banned	No	No	Brings people back for cheap	FALSE	0	0	0	0	
Chip of Creation	-	-		AitFR-AVT	Yes	Banned	No	No	Setting specific-ish	FALSE	0	0	0	0	
Chronolometer	-	-		AI	Yes	Banned	No	No	Messes with action economy	FALSE	0	0	0	0	
Concertina (Frost)	-	-		RMBRE	No	Banned	No	No	Joke Item	FALSE	0	0	0	0	
Crook of Rao	-	-		TCE	Yes	Banned	No	No	Banishes all fiends in 1 mile	FALSE	0	0	0	0	
Cube Of Force				DMG	Yes	Banned	No	No		FALSE	0	0	0	0	
Damselfly	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Deck of Many Things	-	-		DMG	No	Banned	No	No	Deck of Many Things	FALSE	0	0	0	0	
Deck of Several Things	-	-		LLK	No	Banned	No	No	Setting specific DoMT	FALSE	0	0	0	0	
"Dekella, Bident of Thassa"	-	-		MoT	Yes	Banned	No	No	Artifact with a piety system	FALSE	0	0	0	0	
Devlin's Staff of Striking	-	-		ToA	Yes	Banned	No	No	Staff of striking with curse	FALSE	0	0	0	0	
Documancy Satchel	-	-		AI	No	Banned	No	No	Uses rank system	FALSE	0	0	0	0	
Dragonstaff of Ahghairon	-	-		WDH	Yes	Banned	No	No	Setting specific	FALSE	0	0	0	0	
"Ephixis, Bow of Nylea"	-	-		MoT	Yes	Banned	No	No	Artifact with a piety system	FALSE	0	0	0	0	
Eye of Vecna	-	-		DMG	Yes	Banned	No	No	Artifact	FALSE	0	0	0	0	
Figurine of Wondrous Power (Gold Canary)	-	-		FTD	No	Banned	No	No	"Summons dragon once per year, annoying to track"	FALSE	0	0	0	0	
Fish Suit	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Flying Fish Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Gloves of Soul Catching	-	-		CM	Yes	Banned	No	No	Broken item	FALSE	0	0	0	0	
Gravenhollow Compass Ring	-	-		OotA	No	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Grovelthrash	-	-		EGW	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Hammerhead Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Hammock of Worlds	-	-		DMG	No	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Hand of Vecna	-	-		DMG	Yes	Banned	No	No	Broken artifact	FALSE	0	0	0	0	
Hell Hound Cloak	-	-		TftYP	Yes	Banned	No	No	Punishing cursed item	FALSE	0	0	0	0	
Helm Of The Gods	-	-		MOT	Yes	Banned	No	No		FALSE	0	0	0	0	
Horn Of The Endless Maze	-	-		WDMM	No	Banned	No	No	Functions like the Horn of the Valkyrie	FALSE	0	0	0	0	
Horn Of Valhalla	-	-		DMG	No	Banned	No	No	Annoying AF to everyone else	FALSE	0	0	0	0	
Horned Ring	-	-		WDMM	Yes	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Iron Flask	-	-		DMG	No	Banned	No	No	Possible to control other PCs	FALSE	0	0	0	0	
Ironfang	-	-		PotA	Yes	Banned	No	No	Can create a devastation orb	FALSE	0	0	0	0	
"Khrusor, Spear of Heliod"	-	-		MOT	Yes	Banned	No	No	Artifact with a piety system	FALSE	0	0	0	0	
Korolnor Scepter	-	-		SKT	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Lamprey Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Lash of Shadows	-	-		EGW	Yes	Banned	No	No	Named sentient creature	FALSE	0	0	0	0	
Leather Golem Armor	-	-		LLK	Yes	Banned	No	No	It's just a Gore TW 	FALSE	0	0	0	0	
Lesser Hammock Of Worlds	-	-		JttRC	No	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Living Loot Satchel	-	-		AI	No	Banned	No	No	Uses AI Rank system	FALSE	0	0	0	0	
Living Ship	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
Lord's Ensemble	-	-		WDH	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Luba's Tarokka of Souls	-	-		TCE	Yes	Banned	No	No	Attunment ends after 7 days of non-use	FALSE	0	0	0	0	
Mace Of The Black Crown	-	-		EGW	Yes	Banned	No	No	Specific named creature lives inside	FALSE	0	0	0	0	
Maddgoth's Helm	-	-		WDMM	Yes	Banned	No	No	Setting specific item	FALSE	0	0	0	0	
Mask Of The Dragon Queen	-	-		RoT	Yes	Banned	No	No	Item too powerful	FALSE	0	0	0	0	
"Mastix, Whip of Erebos"	-	-		MoT	Yes	Banned	No	No	Artifact with a piety system	FALSE	0	0	0	0	
Mithral Armor +1	-	-		AI	No	Banned	No	No	It's pure power creep	FALSE	0	0	0	0	
Murgaxor's Orb	-	-		SCC	Yes	Banned	No	No	Setting specific cursed item	FALSE	0	0	0	0	
Nautiloid	-	-		AAG	No	Banned	No	No	Setting Specific Item	FALSE	0	0	0	0	
