Item Name,Base price,Crafting price,Price adjustment,Source,Attunement?,HoTC Rarity,Craftable
Woodcutter's Axe,"1,500",750,,WBW,No,Silver,Yes
Witherbloom Primer,"8,000",4000,,SCC,Yes,Silver,Yes
Wingwear,500,250,,PotA,Yes,Bronze,Yes
Wings Of Flying,"5,000",2500,,DMG,Yes,Silver,Yes
Winged Boots,"8,000",4000,,DMG,Yes,Silver,Yes
Wind Fan,"1,500",750,,DMG,No,Silver,Yes
Weird Tank,"3,000",1500,,PA,Yes,Silver,Yes
"Weapon, +1","1,000",500,,DMG,No,Silver,Yes
Weapon of Certain Death,500,250,,EGW,No,Bronze,Yes
Wand Sheath,500,250,,EBR,Warforged,Bronze,Yes
Wand Of Wonder,"2,000",1000,,DMG,Yes,Silver,Yes
Wand Of Winter,"3,000",1500,,HDQ,Yes,Silver,Yes
Wand Of Web,"8,000",4000,,DMG,Yes,Silver,Yes
Wand Of The War Mage +1,"3,000",1500,,DMG,Yes,Silver,Yes
Wand Of Secrets,"1,500",750,,DMG,No,Silver,Yes
Wand Of Pyrotechnics,150,75,,XGE,No,Bronze,Yes
Wand Of Magic Missiles,"8,000",4000,,DMG,No,Silver,Yes
Wand Of Magic Detection,"1,500",750,,DMG,No,Silver,Yes
Wand Of Entangle,"8,000",4000,,TYP,Yes,Silver,Yes
Wand Of Enemy Detection,"4,000",2000,,DMG,Yes,Silver,Yes
Wand Of Conducting,250,125,,XGE,No,Bronze,Yes
Walloping Ammunition,300,150,,XGE,No,Bronze,Yes
Vox Seeker,550,275,,EGW,No,Silver,Yes
Vicious Weapon (any weapon),350,175,,DMG,No,Bronze,Yes
Vial of Thought Capture,"2,500",1250,,GGR: ZT,No,Silver,Yes
Veteran's Cane,30,15,,XGE,No,Bronze,Yes
Ventilating Lungs,"2,000",1000,,EBR,Yes,Silver,Yes
Vanrak's Mithral Shirt (Attunment),"3,000",1500,Cost of armor,WDMM,Yes,Silver,Yes
Universal Solvent,300,150,,DMG,No,Bronze,Yes
Unbreakable Arrow,600,300,,XGE,No,Silver,Yes
Trident Of Fish Command,800,400,,DMG,Yes,Silver,Yes
Treebane,"4,000",2000,,CS,No,Silver,Yes
Tentacle Rod,"5,000",2500,,DMG,Yes,Silver,Yes
Tankard Of Sobriety,200,100,,XGE,No,Bronze,Yes
Tankard of Plenty,300,150,,HDQ,No,Bronze,Yes
Talking Doll,60,30,,XGE,Yes,Bronze,Yes
Sword Of Wounding (any sword),"2,000",1000,,DMG,Yes,Silver,Yes
Sword of the Crusader (aka Lost Sword),"3,000",1500,,CoS,Yes,Silver,Yes
Sword Of Life Stealing (any sword),"1,000",500,,DMG,Yes,Silver,Yes
Strixhaven Pennant,60,30,,SCC,No,Bronze,Yes
Storm Boomerang,400,200,,PA,No,Bronze,Yes
Stonespeaker Crystal,"1,000",500,,OA,Yes,Silver,Yes
Stone Of Good Luck (Luckstone),"4,200",2100,,DMG,Yes,Silver,Yes
Staff Of Withering,"3,000",1500,,DMG,Yes,Silver,Yes
Staff of the Ivory Claw,"6,000",3000,,EGW,Yes,Silver,Yes
Staff Of The Adder,"1,800",900,,DMG,Yes,Silver,Yes
Staff Of Flowers,40,20,,XGE,No,Bronze,Yes
Staff Of Birdcalls,80,40,,XGE,No,Bronze,Yes
Staff Of Adornment,50,25,,XGE,No,Bronze,Yes
Spies' Murmur,"3,000",1500,,GGR,Yes,Silver,Yes
Spider Staff,"5,000",2500,,LMP,Yes,Silver,Yes
Spellwrought Tattoo (Cantrip),40,20,,TCE,No,Bronze,Yes
Spellwrought Tattoo (5th level),"3,200",1600,,TCE,No,Silver,Yes
Spellwrought Tattoo (4th level),"1,600",800,,TCE,No,Silver,Yes
Spellwrought Tattoo (3rd level),"1,000",500,,TCE,No,Silver,Yes
Spellwrought Tattoo (2nd level),600,300,,TCE,No,Silver,Yes
Spellwrought Tattoo (1st level),120,60,,TCE,No,Bronze,Yes
Spellshard,100,50,,EBR,No,Bronze,Yes
Spell Scroll (Level 5),640,,,DMG,No,Silver,Yes
Spell Scroll (Level 4),320,,,DMG,No,Bronze,Yes
Spell Scroll (Level 3),200,,,DMG,No,Bronze,Yes
Spell Scroll (Level 2),120,,,DMG,No,Bronze,Yes
Spell Scroll (Level 1),60,,,DMG,No,Bronze,Yes
Spell Scroll (Level 0),20,,,DMG,No,Bronze,Yes
Sovereign Glue,400,200,,DMG,No,Silver,Yes
Smoldering Armor,20,10,add armor cost,XGE,No,Bronze,Yes
Slippers Of Spider Climbing,"5,000",2500,,DMG,Yes,Silver,Yes
Skyblinder Staff,"2,000",1000,,GGR,Yes,Silver,Yes
Siren Song Lyre,600,300,,MOoT,Yes,Silver,Yes
Silverquill Primer,"8,000",4000,,SCC,Yes,Silver,Yes
Shiftweave,800,400,,ERLW,No,Silver,Yes
"Shield, +1","3,000",1500,,DMG,No,Silver,Yes
Shield Of Missile Attraction,"6,000",3000,,DMG,Yes,Silver,Yes
Shield Of Expression,30,15,,XGE,No,Bronze,Yes
Shatterspike (longsword),"1,500",750,,TYP,Yes,Silver,Yes
Shadowfell Shard,"4,000",2000,,TCE,Yes,Silver,Yes
Shadowfell Brand Tattoo,"2,000",1000,,TCE,Yes,Silver,Yes
Serpent's Fang,"4,000",2000,,CM,No,Silver,Yes
Sending Stones,"2,000",1000,,DMG,No,Silver,Yes
Sekolahian Worshiping Statuette,30,15,,GoS,No,Bronze,Yes
Seeker Dart,50,25,,PA,No,Bronze,Yes
Scroll Of Protection,180,90,,DMG,No,Bronze,Yes
Scribe's Pen,15,7.5,,EBR,Yes,Bronze,Yes
Scissors of Shadow Snipping,500,250,,WBW,Yes,Bronze,Yes
Saddle Of The Cavalier,"2,000",1000,,DMG,No,Silver,Yes
Ruby Of The War Mage,"1,000",500,,XGE,Yes,Silver,Yes
Rope Of Mending,350,175,,XGE,No,Bronze,Yes
Rope Of Entanglement,"4,000",2000,,DMG,No,Silver,Yes
Rope Of Climbing,"2,000",1000,,DMG,No,Silver,Yes
Rod Of The Vonindod,"1,000",500,,SKT,Yes,Silver,Yes
Rod of Retribution,300,150,,EGW,Yes,Bronze,Yes
Robe Of Useful Items,"3,000",1500,,DMG,No,Silver,Yes
Robe Of Serpents,250,125,,SKT,Yes,Bronze,Yes
Ring Of X-Ray Vision,"6,000",3000,,DMG,Yes,Silver,Yes
Ring Of Water Walking,"1,500",750,,DMG,No,Silver,Yes
Ring Of Warmth,"1,000",500,,DMG,Yes,Silver,Yes
Ring Of Truth Telling,"1,000",500,,WDH,Yes,Silver,Yes
Ring Of The Ram,"5,000",2500,,DMG,Yes,Silver,Yes
Ring of Temporal Salvation,"1,000",500,,EGW,Yes,Silver,Yes
Ring Of Swimming,"3,000",1500,,DMG,No,Silver,Yes
Ring Of Resistance,"6,000",3000,,DMG,Yes,Silver,Yes
Ring Of Protection,"3,500",1750,,DMG,Yes,Silver,Yes
Ring of Obscuring,300,150,,EGW,Yes,Bronze,Yes
Ring Of Jumping,"2,500",1250,,DMG,Yes,Silver,Yes
Ring Of Feather Falling,"2,000",1000,,DMG,Yes,Silver,Yes
Ring Of Evasion,"5,000",2500,,DMG,Yes,Silver,Yes
Ring Of Animal Influence,"4,000",2000,,DMG,No,Silver,Yes
Reszur,"1,200",600,,PA,No,Silver,Yes
Radiance,"7,500",3750,,CM,Yes,Silver,Yes
Quiver Of Ehlonna,"1,000",500,,DMG,No,Silver,Yes
Quandrix Primer,"8,000",4000,,SCC,Yes,Silver,Yes
Quaals Feather Token (Whip),250,125,,DMG,No,Bronze,Yes
Quaals Feather Token (Tree),"1,500",750,,DMG,No,Silver,Yes
Quaals Feather Token (Swan Boat),"3,000",1500,,DMG,No,Silver,Yes
Quaals Feather Token (Fan),250,125,,DMG,No,Bronze,Yes
Quaals Feather Token (Bird),"3,000",1500,,DMG,No,Silver,Yes
Quaals Feather Token (Anchor),50,25,,DMG,No,Bronze,Yes
Pyroconverger,"1,500",750,,GGR,Yes,Silver,Yes
Psi Crystal,"7,000",3500,,IDRotF,Yes,Silver,Yes
Protective Verses,"3,500",1750,,TCE,Yes,Silver,Yes
Prosthetic Limb,50,25,,TCE,No,Bronze,Yes
Propeller Helm,100,50,,DMM,Yes,Bronze,Yes
Professor Orb,"8,000",4000,,DMM,No,Silver,Yes
Prismari Primer,"8,000",4000,,SCC,Yes,Silver,Yes
